name,code,quota_delivery_area,quota_branch,quota_product_concrete,quota_order,payment_methods
Digitaler Heimservice,digitaler_heimservice,5,5,5,5,"cash_on_delivery,ec_on_delivery,credit_card_on_delivery"
Digitale Sofort-Lieferung,digitale_sofort_lieferung,,,,,"HeidelpayRestPayPalAuthorize,HeidelpayRestCreditCardAuthorize,HeidelpayRestSepaDirectDebit,HeidelpayRestSepaDirectDebitGuaranteed,HeidelpayRestInvoice,HeidelpayRestInvoiceGuaranteed,HeidelpayRestCashOnDelivery,HeidelpayRestEcCardOnDelivery,HeidelpayRestCreditCardOnDelivery"
